PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1628381,2018-19,00,1610612737,ATL,21.0,61,59,1828.0,465,831,0.56,55,158,0.348,203,266,0.763,219,376,595,121,22,39,120,199,1188
1628385,2018-19,00,1610612758,SAC,21.0,58,0,820.0,175,348,0.503,0,6,0.0,58,91,0.637,66,156,222,85,31,22,73,150,408
1628390,2017-18,00,1610612760,OKC,20.0,61,12,763.0,70,169,0.414,40,120,0.333,9,10,0.9,19,28,47,19,24,10,11,83,189
1628390,2018-19,00,1610612760,OKC,21.0,74,74,1931.0,185,431,0.429,106,290,0.366,37,51,0.725,33,108,141,72,40,16,47,231,513
1628386,2017-18,00,1610612751,BKN,20.0,72,31,1441.0,234,397,0.589,5,15,0.333,114,147,0.776,144,244,388,49,28,88,82,147,587
1628386,2018-19,00,1610612751,BKN,21.0,80,80,2096.0,335,568,0.59,6,45,0.133,197,278,0.709,191,481,672,110,43,120,103,184,873
1628384,2017-18,00,1610612761,TOR,20.0,74,62,1481.0,163,346,0.471,73,197,0.371,39,62,0.629,44,140,184,55,52,14,45,130,438
1628384,2018-19,00,1610612761,TOR,21.0,67,6,1352.0,183,404,0.453,67,202,0.332,36,62,0.581,58,139,197,47,46,22,55,140,469
1628399,2017-18,00,1610612743,DEN,22.0,1,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
1628399,2018-19,00,1610612743,DEN,23.0,25,0,94.0,9,18,0.5,4,10,0.4,1,3,0.333,7,11,18,6,2,0,4,10,23
1628403,2017-18,00,1610612757,POR,21.0,27,3,189.0,24,60,0.4,1,8,0.125,12,18,0.667,15,39,54,14,5,3,18,37,61
1628403,2018-19,00,1610612757,POR,22.0,18,0,145.0,14,44,0.318,1,5,0.2,6,7,0.857,13,39,52,7,4,0,16,22,35
1628403,2018-19,00,1610612758,SAC,22.0,3,0,33.0,4,9,0.444,0,2,0.0,0,2,0.0,4,8,12,4,2,1,2,6,8
1628403,2018-19,00,0,TOT,22.0,21,0,178.0,18,53,0.34,1,7,0.143,6,9,0.667,17,47,64,11,6,1,18,28,43
1628398,2017-18,00,1610612747,LAL,22.0,77,37,2401.0,468,1039,0.45,159,434,0.366,147,208,0.707,88,395,483,141,49,34,140,160,1242
1628398,2018-19,00,1610612747,LAL,23.0,70,68,2314.0,496,1087,0.456,128,422,0.303,188,250,0.752,60,322,382,178,41,26,133,170,1308
1628396,2017-18,00,1610612762,UTA,20.0,9,0,29.0,3,11,0.273,0,1,0.0,2,2,1.0,4,7,11,1,0,0,0,1,8
1628396,2018-19,00,1610612762,UTA,21.0,3,0,36.0,8,16,0.5,0,0,0.0,1,2,0.5,9,6,15,1,2,2,3,6,17
1628401,2017-18,00,1610612759,SAS,23.0,17,0,139.0,16,33,0.485,8,13,0.615,14,20,0.7,5,21,26,9,4,3,6,8,54
1628401,2018-19,00,1610612759,SAS,24.0,67,55,1728.0,260,543,0.479,48,142,0.338,95,123,0.772,35,212,247,263,67,47,97,145,663
1628404,2017-18,00,1610612747,LAL,23.0,63,23,1461.0,176,375,0.469,78,197,0.396,66,94,0.702,42,221,263,80,47,16,47,107,496
1628404,2018-19,00,1610612747,LAL,24.0,67,22,1715.0,189,464,0.407,92,274,0.336,55,80,0.688,35,213,248,93,64,40,58,147,525
1627732,2017-18,00,1610612755,PHI,21.0,81,81,2732.0,544,998,0.545,0,11,0.0,191,341,0.56,145,514,659,661,140,70,278,211,1279
1627732,2018-19,00,1610612755,PHI,22.0,79,79,2700.0,540,960,0.563,0,6,0.0,257,428,0.6,172,525,697,610,112,61,274,209,1337
1627742,2016-17,00,1610612747,LAL,19.0,79,40,2279.0,276,686,0.402,55,187,0.294,133,214,0.621,60,256,316,166,50,36,116,158,740
1627742,2017-18,00,1610612747,LAL,20.0,59,59,1975.0,358,761,0.47,41,105,0.39,192,282,0.681,57,257,314,230,45,43,149,163,949
1627742,2018-19,00,1610612747,LAL,21.0,52,52,1761.0,362,729,0.497,31,94,0.33,195,289,0.675,41,226,267,154,28,31,129,149,950
1627759,2016-17,00,1610612738,BOS,20.0,78,20,1341.0,192,422,0.455,46,134,0.343,85,124,0.685,45,175,220,64,35,18,68,142,515
1627759,2017-18,00,1610612738,BOS,21.0,70,70,2152.0,373,803,0.465,121,306,0.395,150,233,0.644,66,280,346,114,70,26,124,181,1017
1627759,2018-19,00,1610612738,BOS,22.0,74,25,1913.0,368,792,0.465,95,276,0.344,133,202,0.658,65,248,313,100,69,32,99,186,964
1627733,2016-17,00,1610612756,PHX,19.0,43,0,574.0,57,161,0.354,28,101,0.277,4,11,0.364,23,80,103,23,10,22,32,74,146
1627733,2017-18,00,1610612756,PHX,20.0,82,37,2069.0,187,484,0.386,118,322,0.366,39,51,0.765,40,321,361,130,22,53,112,166,531
1627733,2018-19,00,1610612756,PHX,21.0,46,27,826.0,88,197,0.447,22,101,0.218,32,54,0.593,34,149,183,56,18,22,37,90,230
1627739,2016-17,00,1610612750,MIN,23.0,78,7,1333.0,118,313,0.377,21,73,0.288,36,59,0.61,24,142,166,188,78,36,89,178,293
1627739,2017-18,00,1610612741,CHI,24.0,52,43,1525.0,286,666,0.429,43,134,0.321,84,114,0.737,24,197,221,310,104,27,150,174,699
1627739,2018-19,00,1610612741,CHI,25.0,46,44,1389.0,215,506,0.425,34,96,0.354,55,69,0.797,19,168,187,277,68,21,104,166,519
1627741,2016-17,00,1610612740,NOP,24.0,57,37,1161.0,185,471,0.393,89,241,0.369,29,33,0.879,19,147,166,77,18,7,48,81,488
1627741,2016-17,00,1610612758,SAC,24.0,25,18,727.0,142,296,0.48,59,138,0.428,35,43,0.814,16,87,103,44,20,2,53,34,378
1627741,2016-17,00,0,TOT,24.0,82,55,1888.0,327,767,0.426,148,379,0.391,64,76,0.842,35,234,269,121,38,9,101,115,866
1627741,2017-18,00,1610612758,SAC,25.0,80,13,2024.0,416,933,0.446,176,408,0.431,71,81,0.877,55,252,307,155,85,22,124,148,1079
1627741,2018-19,00,1610612758,SAC,26.0,82,82,2615.0,623,1360,0.458,278,651,0.427,171,193,0.886,106,306,412,205,58,33,146,202,1695
1627750,2016-17,00,1610612743,DEN,20.0,82,9,1765.0,295,730,0.404,115,344,0.334,106,120,0.883,41,173,214,170,51,24,113,124,811
1627750,2017-18,00,1610612743,DEN,21.0,81,80,2565.0,479,1062,0.451,165,436,0.378,229,253,0.905,82,215,297,274,79,28,172,173,1352
1627750,2018-19,00,1610612743,DEN,22.0,75,74,2447.0,513,1173,0.437,152,414,0.367,189,223,0.848,65,252,317,363,67,27,158,153,1367
1627737,2016-17,00,1610612756,PHX,19.0,82,75,1743.0,284,632,0.449,72,224,0.321,113,181,0.624,96,252,348,60,67,70,108,263,753
1627737,2017-18,00,1610612756,PHX,20.0,72,49,1527.0,202,477,0.423,56,190,0.295,96,158,0.608,76,319,395,83,51,70,107,205,556
1627737,2018-19,00,1610612745,HOU,21.0,16,0,104.0,11,34,0.324,1,15,0.067,6,7,0.857,7,21,28,6,2,4,12,17,29
1627737,2018-19,00,1610612739,CLE,21.0,27,2,395.0,56,146,0.384,15,57,0.263,26,38,0.684,33,81,114,16,15,7,24,64,153
1627737,2018-19,00,0,TOT,21.0,43,2,499.0,67,180,0.372,16,72,0.222,32,45,0.711,40,102,142,22,17,11,36,81,182
1627751,2016-17,00,1610612761,TOR,21.0,54,4,626.0,67,115,0.583,0,0,0.0,31,57,0.544,78,87,165,12,17,20,29,113,165
1627751,2017-18,00,1610612761,TOR,22.0,82,0,1524.0,253,384,0.659,1,2,0.5,60,101,0.594,165,228,393,57,39,100,85,212,567
1627751,2018-19,00,1610612759,SAS,23.0,77,24,1273.0,187,290,0.645,0,0,0.0,49,92,0.533,178,232,410,93,29,68,48,124,423
1627748,2016-17,00,1610612749,MIL,20.0,57,34,562.0,83,181,0.459,28,74,0.378,32,49,0.653,40,74,114,23,10,26,17,84,226
1627748,2017-18,00,1610612749,MIL,21.0,74,12,1238.0,130,316,0.411,31,104,0.298,65,93,0.699,75,150,225,46,38,53,44,162,356
1627748,2018-19,00,1610612749,MIL,22.0,35,0,409.0,59,134,0.44,26,78,0.333,20,37,0.541,17,79,96,18,10,18,9,55,164
1627748,2018-19,00,1610612765,DET,22.0,29,5,563.0,50,134,0.373,23,75,0.307,36,47,0.766,24,82,106,27,11,33,24,50,159
1627748,2018-19,00,0,TOT,22.0,64,5,972.0,109,268,0.407,49,153,0.32,56,84,0.667,41,161,202,45,21,51,33,105,323
1627734,2016-17,00,1610612760,OKC,21.0,81,66,1631.0,192,481,0.399,51,159,0.321,44,67,0.657,46,242,288,82,39,32,83,200,479
1627734,2017-18,00,1610612754,IND,22.0,74,19,1810.0,340,661,0.514,13,37,0.351,168,224,0.75,165,407,572,151,40,32,137,220,861
1627734,2018-19,00,1610612754,IND,23.0,74,5,1838.0,413,700,0.59,9,17,0.529,208,291,0.715,186,504,690,212,48,30,160,239,1043
1627752,2016-17,00,1610612737,ATL,23.0,59,10,981.0,114,285,0.4,33,102,0.324,74,94,0.787,25,132,157,55,43,27,61,96,335
1627752,2017-18,00,1610612737,ATL,24.0,82,82,2464.0,415,975,0.426,176,457,0.385,152,180,0.844,50,339,389,214,85,42,191,168,1158
1627752,2018-19,00,1610612737,ATL,25.0,55,47,1552.0,262,594,0.441,123,315,0.39,95,116,0.819,22,177,199,118,53,19,100,141,742
1627834,2016-17,00,1610612758,SAC,19.0,22,0,355.0,56,102,0.549,0,2,0.0,12,14,0.857,24,62,86,20,3,17,24,44,124
1627834,2017-18,00,1610612758,SAC,20.0,16,0,118.0,17,41,0.415,0,0,0.0,0,0,0.0,12,24,36,9,2,6,8,12,34
1627834,2017-18,00,1610612757,POR,20.0,1,0,4.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,2,0,0,0,2
1627834,2017-18,00,0,TOT,20.0,17,0,122.0,18,42,0.429,0,0,0.0,0,0,0.0,13,24,37,9,4,6,8,12,36
1627756,2016-17,00,1610612741,CHI,23.0,57,0,977.0,102,288,0.354,73,208,0.351,14,18,0.778,11,140,151,63,30,7,49,86,291
1627756,2017-18,00,1610612741,CHI,24.0,77,37,2095.0,301,721,0.417,143,370,0.386,38,51,0.745,48,345,393,244,65,11,99,185,783
1627823,2016-17,00,1610612743,DEN,21.0,62,9,842.0,101,224,0.451,46,113,0.407,57,76,0.75,43,144,187,29,30,12,31,62,305
1627823,2017-18,00,1610612743,DEN,22.0,25,3,277.0,29,75,0.387,14,50,0.28,10,12,0.833,18,36,54,12,6,3,9,25,82
1627823,2018-19,00,1610612743,DEN,23.0,70,25,1358.0,138,314,0.439,66,181,0.365,66,86,0.767,64,201,265,55,27,24,37,94,408
