Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
86,Tyson Chandler,C,29,NYK,62,2061,18.7,0.708,0.006,0.887,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13,,5.8,3.6,9.5,0.22,,1.4,2.8,4.1,3.2
87,Wilson Chandler,SF,24,DEN,8,215,9,0.445,0.152,0.152,3.4,18.4,11.1,12,1.4,2.2,17.6,21.2,,-0.3,0.2,-0.1,-0.021,,-4.5,0.5,-4,-0.1
88,Josh Childress,SF,28,PHO,34,491,11.1,0.501,0.242,0.02,7.2,14.6,10.9,10,1.5,0.9,8.3,10.1,,0.6,0.4,0.9,0.092,,-0.3,1.4,1.1,0.4
89,Earl Clark,PF,24,ORL,45,559,8.1,0.405,0,0.209,7.1,18.6,12.8,5.2,1.2,4.5,14.1,14.8,,-0.5,0.8,0.3,0.027,,-6.2,2.4,-3.8,-0.3
90,Norris Cole,PG,23,MIA,65,1260,7.9,0.452,0.169,0.189,2.1,6.4,4.3,17,1.8,0.1,17.7,21.8,,-1.4,1.4,0,0,,-4.1,-1.8,-5.9,-1.2
91,Jason Collins,C,33,ATL,30,308,3.7,0.418,0,0.375,4.6,13.6,9.1,4.6,0.7,0.7,17.7,8.6,,-0.2,0.3,0.2,0.025,,-5.6,0.5,-5.1,-0.2
92,Darren Collison,PG,24,IND,60,1878,13.6,0.526,0.18,0.293,1.8,9.3,5.6,24.9,1.4,0.6,16.2,17,,2.3,1.5,3.8,0.098,,0.5,-0.8,-0.3,0.8
93,Nick Collison,PF,31,OKC,63,1307,12.1,0.622,0.005,0.308,11.1,12.7,12,9.3,1.3,1.6,21.1,10,,2.3,1.2,3.5,0.13,,0.9,1.3,2.2,1.4
94,Mike Conley,PG,24,MEM,62,2174,16.8,0.523,0.232,0.231,1.2,7.4,4.2,29.8,3.3,0.4,14.2,18.3,,3.6,2.8,6.4,0.141,,1.8,0.1,1.9,2.1
95,Brian Cook,PF,31,TOT,32,276,5.8,0.396,0.51,0.102,4.1,22.3,13.1,5.7,1.1,1.5,9.7,18.7,,-0.3,0.3,-0.1,-0.011,,-4.8,-2.1,-6.9,-0.3
95,Brian Cook,PF,31,LAC,16,121,0,0.305,0.551,0.082,3.9,18.9,11.3,2.5,0.9,2.8,7.3,20.9,,-0.4,0.1,-0.2,-0.098,,-7.7,-2.8,-10.5,-0.3
95,Brian Cook,PF,31,WAS,16,155,10.4,0.484,0.469,0.122,4.3,25,14.6,8.2,1.3,0.5,11.9,16.9,,0,0.2,0.2,0.058,,-2.5,-1.6,-4,-0.1
96,Daequan Cook,SG,24,OKC,57,989,9.2,0.509,0.77,0.074,1.5,11.9,7,2.3,1.1,0.8,5,14.7,,0.8,0.8,1.6,0.078,,-0.2,-2.4,-2.6,-0.1
97,DeMarcus Cousins,C,21,SAC,64,1950,21.7,0.499,0.014,0.373,14.2,25.9,19.8,9.5,2.4,2.8,12.8,29.7,,2.1,2.2,4.2,0.104,,-0.4,0,-0.3,0.8
98,Jamal Crawford,PG,31,POR,60,1613,15.7,0.506,0.353,0.28,1.1,7.5,4.3,20.5,1.8,0.7,11.8,26.6,,1.6,0.7,2.3,0.069,,0.9,-2.6,-1.7,0.1
99,Jordan Crawford,SG,23,WAS,64,1753,14.5,0.488,0.313,0.233,2.8,8.1,5.4,19.3,1.7,0.2,12.8,28.1,,0.3,0.7,1.1,0.029,,0.7,-3,-2.3,-0.2
